"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 22:40:58 GMT 2025","Wed Feb 19 22:41:04 GMT 2025","5412","chromium","features/headerPage.spec.ts","Header Section Functional Tests","","","User can sign in and select user menu and view details",""
"passed","Wed Feb 19 22:41:06 GMT 2025","Wed Feb 19 22:41:07 GMT 2025","859","chromium","features/signInPage.spec.ts","Login Page Functional Tests","","","Validation error displayed when using an invalid email address",""
"passed","Wed Feb 19 22:41:06 GMT 2025","Wed Feb 19 22:41:10 GMT 2025","3224","chromium","features/SignUpPage.spec.ts","Sign Up Functional Tests","","","User can sign up with valid login credentials",""
"passed","Wed Feb 19 22:41:05 GMT 2025","Wed Feb 19 22:41:06 GMT 2025","771","chromium","features/signInPage.spec.ts","Login Page Functional Tests","","","Validation error displayed when submitting only a password",""
"passed","Wed Feb 19 22:40:58 GMT 2025","Wed Feb 19 22:41:04 GMT 2025","5948","chromium","features/headerPage.spec.ts","Header Section Functional Tests","","","User can sign in and select user menu and sign out",""
"passed","Wed Feb 19 22:41:04 GMT 2025","Wed Feb 19 22:41:05 GMT 2025","1031","chromium","features/signInPage.spec.ts","Login Page Functional Tests","","","Error message displayed for invalid credentials",""
"passed","Wed Feb 19 22:41:05 GMT 2025","Wed Feb 19 22:41:06 GMT 2025","748","chromium","features/signInPage.spec.ts","Login Page Functional Tests","","","Validation error displayed when submitting only email address",""
"passed","Wed Feb 19 22:41:04 GMT 2025","Wed Feb 19 22:41:05 GMT 2025","1545","chromium","features/signInPage.spec.ts","Login Page Functional Tests","","","User can log in with valid credentials",""
